"Date","Value"
"11/20/2015",2089.17
"11/23/2015",2086.59
"11/24/2015",2089.14
"11/25/2015",2088.87
"11/27/2015",2090.11
"11/30/2015",2080.41
"12/01/2015",2102.63
"12/02/2015",2079.51
"12/03/2015",2049.62
"12/04/2015",2091.69
"12/07/2015",2077.07
"12/08/2015",2063.59
"12/09/2015",2047.62
"12/10/2015",2052.23
"12/11/2015",2012.37
"12/14/2015",2021.94
"12/15/2015",2043.41
"12/16/2015",2073.07
"12/17/2015",2041.89
"12/18/2015",2005.55
"12/21/2015",2021.15
"12/22/2015",2038.97
"12/23/2015",2064.29
"12/24/2015",2060.99
"12/28/2015",2056.5
"12/29/2015",2078.36
"12/30/2015",2063.36
"12/31/2015",2043.94
"01/04/2016",2012.66
"01/05/2016",2016.71
"01/06/2016",1990.26
"01/07/2016",1943.09
"01/08/2016",1922.03
"01/11/2016",1923.67
"01/12/2016",1938.68
"01/13/2016",1890.28
"01/14/2016",1921.84
"01/15/2016",1880.33
"01/19/2016",1881.33
"01/20/2016",1859.33
"01/21/2016",1868.99
"01/22/2016",1906.9
"01/25/2016",1877.08
"01/26/2016",1903.63
"01/27/2016",1882.95
"01/28/2016",1893.36
"01/29/2016",1940.24
"02/01/2016",1939.38
"02/02/2016",1903.03
"02/03/2016",1912.53
"02/04/2016",1915.45
"02/05/2016",1880.05
"02/08/2016",1853.44
"02/09/2016",1852.21
"02/10/2016",1851.86
"02/11/2016",1829.08
"02/12/2016",1864.78
"02/16/2016",1895.58
"02/17/2016",1926.82
"02/18/2016",1917.83
"02/19/2016",1917.78
"02/22/2016",1945.5
"02/23/2016",1921.27
"02/24/2016",1929.8
"02/25/2016",1951.7
"02/26/2016",1948.05
"02/29/2016",1932.23
"03/01/2016",1978.35
"03/02/2016",1986.45
"03/03/2016",1993.4
"03/04/2016",1999.99
"03/07/2016",2001.76
"03/08/2016",1979.26
"03/09/2016",1989.26
"03/10/2016",1989.57
"03/11/2016",2022.19
"03/14/2016",2019.64
"03/15/2016",2015.93
"03/16/2016",2027.22
"03/17/2016",2040.59
"03/18/2016",2049.58
"03/21/2016",2051.6
"03/22/2016",2049.8
"03/23/2016",2036.71
"03/24/2016",2035.94
"03/28/2016",2037.05
"03/29/2016",2055.01
"03/30/2016",2063.95
"03/31/2016",2059.74
"04/01/2016",2072.78
"04/04/2016",2066.13
"04/05/2016",2045.17
"04/06/2016",2066.66
"04/07/2016",2041.91
"04/08/2016",2047.6
"04/11/2016",2041.99
"04/12/2016",2061.72
"04/13/2016",2082.42
"04/14/2016",2082.78
"04/15/2016",2080.73
"04/18/2016",2094.34
"04/19/2016",2100.8
"04/20/2016",2102.4
"04/21/2016",2091.48
"04/22/2016",2091.58
"04/25/2016",2087.79
"04/26/2016",2091.7
"04/27/2016",2095.15
"04/28/2016",2075.81
"04/29/2016",2065.3
"05/02/2016",2081.43
"05/03/2016",2063.37
"05/04/2016",2051.12
"05/05/2016",2050.63
"05/06/2016",2057.14
"05/09/2016",2058.69
"05/10/2016",2084.39
"05/11/2016",2064.46
"05/12/2016",2064.11
"05/13/2016",2046.61
"05/16/2016",2066.66
"05/17/2016",2047.21
"05/18/2016",2047.63
"05/19/2016",2040.04
"05/20/2016",2052.32
"05/23/2016",2048.04
"05/24/2016",2076.06
"05/25/2016",2090.54
"05/26/2016",2090.1
"05/27/2016",2099.06
"05/31/2016",2096.96
"06/01/2016",2099.33
"06/02/2016",2105.26
"06/03/2016",2099.13
"06/06/2016",2109.41
"06/07/2016",2112.13
"06/08/2016",2119.12
"06/09/2016",2115.48
"06/10/2016",2096.07
"06/13/2016",2079.06
"06/14/2016",2075.32
"06/15/2016",2071.5
"06/16/2016",2077.99
"06/17/2016",2071.22
"06/20/2016",2083.25
"06/21/2016",2088.9
"06/22/2016",2085.45
"06/23/2016",2113.32
"06/24/2016",2037.41
"06/27/2016",2000.54
"06/28/2016",2036.09
"06/29/2016",2070.77
"06/30/2016",2098.86
"07/01/2016",2102.95
"07/05/2016",2088.55
"07/06/2016",2099.73
"07/07/2016",2097.9
"07/08/2016",2129.9
"07/11/2016",2137.16
"07/12/2016",2152.14
"07/13/2016",2152.43
"07/14/2016",2163.75
"07/15/2016",2161.74
"07/18/2016",2166.89
"07/19/2016",2163.78
"07/20/2016",2173.02
"07/21/2016",2165.17
"07/22/2016",2175.03
"07/25/2016",2168.48
"07/26/2016",2169.18
"07/27/2016",2166.58
"07/28/2016",2170.06
"07/29/2016",2173.6
"08/01/2016",2170.84
"08/02/2016",2157.03
"08/03/2016",2163.79
"08/04/2016",2164.25
"08/05/2016",2182.87
"08/08/2016",2180.89
"08/09/2016",2181.74
"08/10/2016",2175.49
"08/11/2016",2185.79
"08/12/2016",2184.05
"08/15/2016",2190.15
"08/16/2016",2178.15
"08/17/2016",2182.22
"08/18/2016",2187.02
"08/19/2016",2183.87
"08/22/2016",2182.64
"08/23/2016",2186.9
"08/24/2016",2175.44
"08/25/2016",2172.47
"08/26/2016",2169.04
"08/29/2016",2180.38
"08/30/2016",2176.12
"08/31/2016",2170.95
"09/01/2016",2170.86
"09/02/2016",2179.98
"09/06/2016",2186.48
"09/07/2016",2186.16
"09/08/2016",2181.3
"09/09/2016",2127.81
"09/12/2016",2159.04
"09/13/2016",2127.02
"09/14/2016",2125.77
"09/15/2016",2147.26
"09/16/2016",2139.16
"09/19/2016",2139.12
"09/20/2016",2139.76
"09/21/2016",2163.12
"09/22/2016",2177.18
"09/23/2016",2164.69
"09/26/2016",2146.1
"09/27/2016",2159.93
"09/28/2016",2171.37
"09/29/2016",2151.13
"09/30/2016",2168.27
"10/03/2016",2161.2
"10/04/2016",2150.49
"10/05/2016",2159.73
"10/06/2016",2160.77
"10/07/2016",2153.74
"10/10/2016",2163.66
"10/11/2016",2136.73
"10/12/2016",2139.18
"10/13/2016",2132.55
"10/14/2016",2132.98
"10/17/2016",2126.5
"10/18/2016",2139.6
"10/19/2016",2144.29
"10/20/2016",2141.34
"10/21/2016",2141.16
"10/24/2016",2151.33
"10/25/2016",2143.16
"10/26/2016",2139.43
"10/27/2016",2133.04
"10/28/2016",2126.41
"10/31/2016",2126.15
"11/01/2016",2111.72
"11/02/2016",2097.94
"11/03/2016",2088.66
"11/04/2016",2085.18
"11/07/2016",2131.52
"11/08/2016",2139.56
"11/09/2016",2163.26
"11/10/2016",2167.48
"11/11/2016",2164.45
"11/14/2016",2164.2
"11/15/2016",2180.39
"11/16/2016",2176.94
"11/17/2016",2187.12
"11/18/2016",2181.9
"11/21/2016",2198.18
"11/22/2016",2202.94
"11/23/2016",2204.72
"11/25/2016",2213.35
"11/28/2016",2201.72
"11/29/2016",2204.66
"11/30/2016",2198.81
"12/01/2016",2191.08
"12/02/2016",2191.95
"12/05/2016",2204.71
"12/06/2016",2212.23
"12/07/2016",2241.35
"12/08/2016",2246.19
"12/09/2016",2259.53
"12/12/2016",2256.96
"12/13/2016",2271.72
"12/14/2016",2253.28
"12/15/2016",2262.03
"12/16/2016",2258.07
"12/19/2016",2262.53
"12/20/2016",2270.76
"12/21/2016",2265.18
"12/22/2016",2260.96
"12/23/2016",2263.79
"12/27/2016",2268.88
"12/28/2016",2249.92
"12/29/2016",2249.26
"12/30/2016",2238.83
"01/03/2017",2257.83
"01/04/2017",2270.75
"01/05/2017",2269
"01/06/2017",2276.98
"01/09/2017",2268.9
"01/10/2017",2268.9
"01/11/2017",2275.32
"01/12/2017",2270.44
"01/13/2017",2274.64
"01/17/2017",2267.89
"01/18/2017",2271.89
"01/19/2017",2263.69
"01/20/2017",2271.31
"01/23/2017",2265.2
"01/24/2017",2280.07
